,League,Team,Country,Rating,Age,Years,AAV
Margaret Mccullough,Japan,Tokyo,Ecuador,80.28571794775328,8,1,201.85185185185182
Roma Watts,Peru,Lima,Indonesia,80.27421551846165,5,2,31.2
Claudie Gill,Italy,Genoa,Italy,80.26997291529487,5,2,14.333333333333329
Liliana Davis,Indonesia,Medan,Belgium,80.20567877817739,5,2,23.333333333333332
Kimberly Sanchez,United States,Dallas,United States,80.06558037441812,7,3,24.493827160493826
Kathleen Washington,United Kingdom,Leeds,Switzerland,80.01183235628534,7,3,27.80833333333333
Amy Root,Indonesia,Semarang,Brazil,80.00373382320082,5,2,12.844444444444443
Timothy Jones,Colombia,Bogota,Italy,79.95021342573614,6,1,11.0
Elias Lang,India,Delhi,India,79.8990199975985,5,1,67.39999999999999
Eric Rentschler,Japan,Yokohama,Indonesia,79.85828629331512,7,3,31.85
Ruben Foster,United Kingdom,Birmingham,United Kingdom,79.7902629549477,7,3,24.319444444444443
Laurel Davila,Japan,Nagoya,France,79.72761913522413,7,3,30.33333333333333
Keri Figueroa,Chile,Santiago,Indonesia,79.65808235755142,5,2,36.75
Robert Yoder,Israel,Netanya,United States,79.54460651122982,6,1,9.799999999999999
Willie Wills,United States,Los Angeles,Spain,79.54142730519231,7,3,27.530555555555566
Ashley Milian,Belgium,Brussels,Japan,79.50118128756152,6,1,37.96666666666667
Adam Mickelsen,Angola,Luanda,United Kingdom,79.49566875871044,5,1,26.0
Justin Howard,France,Villeurbanne,Vietnam,79.42701594539868,5,2,6.2333333333333325
Christina Molina,France,Toulouse,France,79.42542376416081,7,3,15.311111111111117
John Huneycutt,India,Surat,India,79.40837242892327,5,2,24.0
Justin Kelly,Vietnam,Hanoi,India,79.26907933357117,5,2,22.66666666666667
Dwight Casey,Germany,Hamburg,France,79.25331111534607,7,3,26.28888888888889
Jean Clark,Italy,Rome,China,79.2230378129711,8,2,183.20987654320984
Dorothy Sorensen,Brazil,Sao Paulo,Brazil,79.19643783015661,8,1,45.45000000000001
Pedro Segura,India,Chennai,New Zealand,79.19302312590233,5,2,17.833333333333336
Lloyd Holsey,France,Nantes,France,79.19009628999997,5,2,17.25
Timothy Page,New Zealand,Auckland,Canada,79.18647112174004,7,3,33.39259259259259
Dana Deiss,China,Tianjin,United Kingdom,79.1620146547839,6,1,12.75
James Graham,Peru,Lima,Australia,79.11758377961036,6,1,46.800000000000004
Steve Faulkner,Brazil,Salvador,China,78.96873556314527,6,1,10.666666666666666
Mike Carswell,Spain,Malaga,Spain,78.82380112935792,6,1,9.533333333333333
Marie Vance,Saudi Arabia,Jeddah,Chile,78.76915333921872,7,3,24.6
Ha Mckay,Nigeria,Lagos,Japan,78.70660884945809,5,2,58.80000000000001
Gerald Tippens,Mexico,Nezahualcoyotl,Spain,78.7025085447413,6,1,11.6
Ronnie Tennant,Japan,Yokohama,Japan,78.69918384339874,8,2,34.300000000000004
Jack Heyde,India,Bangalore,Israel,78.56048397320095,5,2,31.5
Joseph Petit,Germany,Frankfurt,Germany,78.52499531236326,7,3,18.333333333333332
Eric Martinez,India,Mumbai,South Korea,78.52175330553264,7,2,58.10370370370371
Melanie White,Brazil,Fortaleza,India,78.52141392373181,6,1,9.451851851851854
Anthony Pearson,United States,Los Angeles,United Kingdom,78.49181630507333,5,2,21.816666666666663
Mildred Pagan,Brazil,Brasilia,Saudi Arabia,78.47118257839864,6,1,13.600000000000001
Valerie Hardin,Ireland,Dublin,Norway,78.41087924047983,7,3,25.666666666666664
Amy Walston,Spain,Madrid,United States,78.33868658740298,6,1,74.68518518518519
Brenda Abbenante,United States,Charlotte,Portugal,78.33617157536557,5,2,15.866666666666669
Kent Roberto,Japan,Sapporo,Nigeria,78.24929415162174,4,3,21.38888888888889
Katie Stevens,China,Hangzhou,China,78.23138671845693,7,2,19.46666666666667
James Rangel,Indonesia,Surabaya,Indonesia,78.19292177099545,7,2,27.0
Paul Hill,Austria,Vienna,Czech Republic,78.1723359923615,7,3,23.0
Timothy Jackson,India,Chennai,India,78.11126016459293,7,3,17.833333333333343
John Moore,United States,San Diego,United States,78.09831149560026,7,3,13.0
David Bergman,United Arab Emirates,Abu Dhabi,United States,78.09581070254134,6,1,16.53333333333333
Marsha Johnson,Mexico,Ecatepec,Canada,78.05275448435027,6,1,17.6
Abraham Keeth,Japan,Kyoto,United Kingdom,77.99627003177507,4,3,20.3
Jewell Martin,France,Grenoble,France,77.95659287102208,7,3,15.555555555555557
Brian Flaherty,Netherlands,Tilburg,Netherlands,77.94327444216539,6,1,5.4
Daniel Dietlin,Sweden,Stockholm,Italy,77.89239010633605,7,3,22.400000000000006
Rick Hall,India,Bangalore,Morocco,77.88186254208406,6,1,29.25
Alberto Rice,Italy,Verona,Italy,77.82554870553274,7,3,11.7
Brady Coronado,France,Dijon,France,77.8067100987636,6,1,6.548148148148147
Kenneth Janousek,China,Dalian,Germany,77.79138264735782,5,2,20.444444444444446
Christopher Paik,Singapore,Singapore,Germany,77.76657303381737,6,1,28.666666666666664
Mia Medlin,Nigeria,Port Harcourt,Japan,77.6993822100837,5,2,6.7555555555555555
Sarah Macko,Vietnam,Ho Chi Minh City,Australia,77.5838644502612,6,1,11.166666666666666
Juan Pelkey,India,Ahmedabad,Austria,77.56930995845342,9,2,39.15
Gregg Sanchez,China,Shanghai,China,77.54909205353758,8,2,60.8
George Cardone,Germany,Dusseldorf,Spain,77.54180929100126,5,2,28.933333333333337
Teresa Brooks,Vietnam,Hanoi,Ethiopia,77.53698674536527,6,1,11.555555555555552
Lori Gautreaux,Germany,Dortmund,South Korea,77.4217785429311,5,2,27.066666666666663
Roy Erickson,Italy,Verona,Thailand,77.38941274555303,5,2,15.600000000000001
Mitzi Bynum,Japan,Hiroshima,Japan,77.35954513718653,7,2,18.8
John Rucks,United Kingdom,Leeds,Germany,77.35780200686112,4,3,18.538888888888888
Richard Morgan,Singapore,Bedok,Singapore,77.34725192608316,6,1,3.611111111111111
Kimberly Reagan,Japan,Saitama,Japan,77.30453472949604,7,3,13.866666666666667
Josh Fant,Chile,Santiago,Chile,77.28352606474137,5,1,24.5
Philip Dempsey,Japan,Kyoto,Japan,77.27838118817986,5,2,17.4
Trudie Murphy,Germany,Bochum,Indonesia,77.27410208397397,5,2,14.399999999999999
Kimberly Plummer,India,Chennai,United Kingdom,77.2626994615528,6,1,35.66666666666666
Norman Layton,Germany,Berlin,India,77.25160019756551,8,2,145.80555555555554
Lee Strunk,Indonesia,Bandung,Japan,77.2112853757277,7,3,20.414814814814815
Kristen Patrick,China,Changsha,China,77.1969547330849,6,1,7.350000000000001
Arthur Pearson,India,Jaipur,India,77.16511880073787,6,1,9.799999999999997
Agnes Reed,Indonesia,Jakarta,United Kingdom,77.16397676243628,6,1,20.0
Samantha Hart,Switzerland,Zurich,United Kingdom,77.15224557355222,6,1,25.066666666666663
Miranda Grimes,France,Lyon,United States,77.09124029048834,5,2,32.355555555555554
Lynn Rippy,Poland,Warsaw,Germany,77.08047777688655,5,2,38.7
Gary Goodwin,Germany,Hanover,Germany,77.06517988121523,5,1,24.733333333333334
Thomas Colon,United States,San Antonio,United States,77.06211457424055,5,2,20.4
Jessica Turk,Turkey,Izmir,Turkey,77.02843325998528,5,1,11.333333333333336
Jessie Evans,United States,Fort Worth,United States,76.9711724685411,4,3,13.2
Jill Mulligan,Belgium,Brussels,Belgium,76.87446305289531,7,3,20.099999999999994
Jennifer Trahan,Italy,Venice,Italy,76.84188637323358,6,1,6.5
Jeff Italia,United Arab Emirates,Dubai,Japan,76.77123844647086,6,1,32.43333333333334
Alma Long,France,Lyon,France,76.75976133875618,7,3,14.933333333333337
Teresa Samaniego,Russia,Saint Petersburg,Russia,76.7547317565043,7,3,23.0
Scott Brandt,India,Lucknow,India,76.72856459582127,5,2,18.666666666666668
Irene Barnes,Pakistan,Karachi,Switzerland,76.72739429018615,5,2,20.703703703703706
Lawrence Dambrosio,China,Beijing,China,76.66983441491651,4,2,17.866666666666667
Mildred Kirkpatrick,Pakistan,Karachi,Argentina,76.58836303204293,4,3,23.111111111111114
Brett Olson,Canada,Surrey,Canada,76.52210982398823,7,3,13.5
Jeff Poirier,India,Patna,India,76.5199007172153,6,3,11.5
Natasha Ruiz,Saudi Arabia,Riyadh,Belgium,76.46955788561743,7,3,22.166666666666668
Rose Summerlin,Philippines,Quezon City,South Korea,76.46252208956295,5,2,10.333333333333336
Peter Rogers,India,Bangalore,Oman,76.45332043764668,5,2,15.75
Lesa Rothfuss,China,Nanjing,China,76.44197783403266,5,2,13.866666666666667
Steven Stultz,United Kingdom,London,Argentina,76.39538108516118,8,2,116.46368312757201
Felix Deitz,Austria,Vienna,Austria,76.35061454382637,7,2,34.5
Ricky Cummings,South Korea,Changwon,South Korea,76.29617655726044,6,1,8.666666666666666
David Foster,Spain,Seville,India,76.26736880665186,7,3,17.71851851851852
George Shields,Russia,Chelyabinsk,Belgium,76.25169811028144,6,1,8.666666666666666
Donald Gilchrist,Oman,Muscat,Brazil,76.23958137620332,7,3,22.95
Debra Jones,United Kingdom,Nottingham,United Kingdom,76.21705530853019,6,1,5.0
Vickie Atkinson,Germany,Bonn,Germany,76.21004193392302,7,3,13.2
Linda Holt,India,Ahmedabad,Czech Republic,76.20775560906822,5,2,26.099999999999998
Casey Cannon,Australia,Canberra,Australia,76.16759959426409,5,2,7.6000000000000005
Ramona Petrson,Saudi Arabia,Mecca,Germany,76.14641644637392,6,1,7.0
Stanley Welch,China,Zhengzhou,Netherlands,76.13941547409415,5,2,19.25
Jennifer Free,Canada,Quebec City,Canada,76.11073019398627,6,1,7.881481481481482
Monica Yung,Brazil,Natal,United States,76.0606948137186,6,1,7.0
Rhonda Graff,Japan,Hamamatsu,Japan,76.0401152175742,6,1,5.333333333333336
Mary Long,South Africa,Ekurhuleni,Canada,76.01254216761737,6,1,11.200000000000001
Virgen Cherry,Netherlands,Amsterdam,Netherlands,75.9403460454102,5,2,21.3
Richard Flynn,China,Changsha,China,75.8858135763638,5,2,12.25
Eddie Tranter,China,Xi'an,France,75.86961854056186,5,2,24.0
George Nelson,China,Shenyang,China,75.85813284102791,6,1,6.799999999999997
Kathy Colantro,United Kingdom,Coventry,India,75.83162396387921,5,2,9.066666666666666
Robert Bey,Norway,Oslo,South Korea,75.82503542822813,6,1,44.199999999999996
Elaine Greener,Japan,Hiroshima,Qatar,75.82317747357706,7,3,14.1
Holly Melton,Austria,Linz,Spain,75.75938991082255,5,2,8.333333333333334
Joshua Boyer,China,Suzhou,China,75.74272052458447,7,3,13.199999999999996
Douglas Wilson,Nigeria,Lagos,Belgium,75.70194873318418,7,3,19.599999999999994
James Duprey,France,Bordeaux,France,75.66509329904234,6,1,7.466666666666669
Rebecca Wideman,Austria,Graz,Russia,75.66045011732409,6,1,6.399999999999999
Benjamin Warwick,France,Le Havre,France,75.6499084243457,6,1,6.166666666666666
Joseph Walker,Japan,Fukuoka,Japan,75.64803941632248,7,3,12.600000000000003
Ethel Dupre,South Korea,Ansan,United Kingdom,75.59554410511383,6,1,7.933333333333334
Michaela Lesley,Japan,Osaka,Japan,75.55828702902748,5,2,10.8
Joseph Miller,Saudi Arabia,Riyadh,Saudi Arabia,75.55206376061074,6,2,11.083333333333332
Veta Powell,Chile,Santiago,Egypt,75.52560717778883,5,2,12.25
Rudolph Gilder,Germany,Wuppertal,Australia,75.51695401444825,4,3,15.75
Rodney Dotson,Colombia,Cali,Italy,75.49265089710391,5,2,4.8
Eric Welsh,Norway,Kristiansand,South Korea,75.41648678780288,6,1,7.933333333333334
Patrick Ojeda,Norway,Oslo,Indonesia,75.40540956910321,6,1,22.1
Steve Laughlin,India,Kanpur,India,75.36687034045072,7,3,12.916666666666668
Clarence Green,United States,San Antonio,Belgium,75.24978694416131,7,2,30.599999999999998
Lucille Trujillo,Mexico,Puebla,United States,75.24558773483605,7,3,17.333333333333332
Deborah Boone,Russia,Perm,United States,75.22076558326316,6,1,9.583333333333334
Carrol Papenfuss,Indonesia,Bandar Lampung,New Zealand,75.18708112892453,6,1,9.0
Catherine Morris,Czech Republic,Prague,Italy,75.16902822323911,4,3,16.200000000000003
Diane Weaver,United Kingdom,London,Hungary,75.14303277980024,8,1,232.92736625514405
Dawn Jenkins,Canada,Mississauga,Switzerland,75.1379211615834,6,1,7.599999999999998
Rachel Mallette,Mexico,Ecatepec,United Kingdom,75.1263156129228,6,1,11.733333333333334
Albert Rudloff,Nigeria,Kaduna,Nigeria,75.09575864274181,5,1,2.844444444444444
Christine Heacock,United Arab Emirates,Abu Dhabi,Switzerland,75.0827861476701,5,2,12.400000000000002
Richard Seal,India,Chennai,United States,75.03382273922665,5,2,35.666666666666664
Jean Holton,France,Rennes,Canada,75.01520080046741,6,1,11.200000000000003
Steve Davis,South Korea,Seoul,Russia,74.99756474522981,8,2,61.86666666666666
Duane Rau,Germany,Nuremberg,Argentina,74.88179816215127,5,2,26.0
John Terrance,Mexico,Acapulco,United Kingdom,74.83010221019015,6,1,8.4
Brian Anderson,South Korea,Daegu,Austria,74.81198145109303,7,3,16.325925925925926
Shirley Bravo,Russia,Ufa,Argentina,74.79484604877717,6,1,6.9444444444444455
Patrick Parker,Brazil,Brasilia,Singapore,74.77904557378166,6,1,6.800000000000001
Emmanuel Garrett,Vietnam,Hanoi,Saudi Arabia,74.7689368966934,4,3,20.0
Kimberly Campbell,United Kingdom,Hull,United Kingdom,74.66825142596477,4,3,11.200000000000001
John Pascual,Poland,Lodz,China,74.6672286982086,6,1,9.007407407407408
Kevin Bush,United Kingdom,Newcastle,Egypt,74.6537486856865,5,2,10.933333333333335
Ronald Hodges,Mexico,Zapopan,China,74.5773944128566,7,3,15.4
Ruben Fritts,Italy,Venice,Italy,74.57011233587284,7,3,13.0
Nicholas Winterholler,Russia,Krasnodar,Japan,74.54337142935505,6,1,6.600000000000001
Ruby Johnson,Portugal,Porto,Ireland,74.53665788283209,6,1,7.2
John Croes,Germany,Stuttgart,Germany,74.53295640161133,7,3,12.600000000000003
Daniel Govan,Spain,Zaragoza,South Korea,74.51272022027717,7,2,16.355555555555554
Laura Rotondo,United States,Chicago,Nigeria,74.49887515461623,7,3,12.700000000000003
Robert Butler,Nigeria,Benin City,Nigeria,74.44914989305683,6,1,7.866666666666667
Lucy Snider,Argentina,Cordoba,South Korea,74.40451196351731,5,2,4.666666666666666
David Scott,Finland,Helsinki,Russia,74.362075786265,7,3,20.25
Norma Tom,Spain,Palma,Spain,74.36167122657962,6,1,5.599999999999999
Corey Shain,Japan,Kobe,Russia,74.33082676366217,7,3,12.199999999999998
Eliz Sandoval,Spain,Malaga,France,74.33006838465347,6,1,4.7666666666666675
Wade Hokanson,Italy,Trieste,Italy,74.31591535413428,7,3,13.950000000000001
Angel Scott,Spain,Malaga,Spain,74.30098488166597,7,3,11.7
Gilberto Pippenger,France,Toulon,France,74.26471104618231,6,3,12.666666666666666
Lauren Tucker,Denmark,Copenhagen,Denmark,74.22750686820316,7,1,27.930864197530866
Janice Johnson,Ireland,Limerick,Ireland,74.22394263817455,5,2,5.488888888888888
Benton Rollins,Germany,Duisburg,Oman,74.20684933960625,6,1,22.86666666666666
Danielle Brown,France,Reims,France,74.14660942998182,7,3,13.333333333333334
Teri Daly,Germany,Stuttgart,Russia,74.10305422205064,5,2,29.399999999999995
Jan Harris,France,Nice,Finland,74.02839795939389,7,2,33.3
Nestor Longoria,United Kingdom,Leicester,United Kingdom,74.02497213224164,7,3,10.666666666666666
Rosemary Wilson,Thailand,Bangkok,Thailand,74.01453387839837,8,2,119.16666666666667
Annette Burrell,Indonesia,Depok,Israel,73.91585356229818,5,2,22.4
James Howard,France,Le Havre,France,73.90914875584164,6,1,12.333333333333334
Margaret Putman,Ireland,Dublin,Ireland,73.88019746159267,8,2,77.0
Lenard Michael,China,Qingdao,United Kingdom,73.87174801612909,5,2,25.650000000000002
Nola Lewis,South Korea,Gwangju,India,73.8208103296123,7,3,16.333333333333332
Robert Heaton,Israel,Beer Sheva,Vietnam,73.81472611687067,6,1,9.333333333333334
Caryn Fernandez,Germany,Berlin,Brazil,73.73897062795248,8,2,97.2037037037037
Kathryn Lowe,Finland,Turku,Finland,73.72279728541359,5,1,3.733333333333334
Ken Wallace,Germany,Bremen,South Korea,73.64810543135903,5,2,25.650000000000002
Jean Blankenship,Japan,Kyoto,Japan,73.5700923364992,6,3,13.533333333333333
Ozella Edwards,France,Paris,Canada,73.56699733877703,9,1,138.89999999999998
Penni Moore,Canada,Brampton,Canada,73.5474131610685,7,3,15.866666666666667
Lupe Fannin,France,Montpellier,France,73.51494089226716,4,2,12.600000000000003
Patrick White,Mexico,Monterrey,France,73.50672886379711,7,3,14.0
Kenneth Smith,Switzerland,Geneva,Saudi Arabia,73.48180766712765,5,2,16.622222222222224
Richard Riordan,United States,Fort Worth,United States,73.42997656748153,5,2,17.6
Michael Parkhill,China,Zhengzhou,China,73.40620454267496,7,3,12.833333333333334
Cynthia Templeton,Switzerland,Basel,India,73.39632199912221,4,3,17.333333333333332
Daniel Izzo,Mexico,Mexico City,Mexico,73.33239709779286,8,2,107.55555555555556
Ernest Burres,France,Le Havre,France,73.33140200218146,7,3,12.333333333333334
Jason Leininger,India,Pune,India,73.31277871896371,7,3,10.666666666666671
Mark Lopez,Portugal,Lisbon,Belgium,73.28381200274706,5,2,10.133333333333335
Bryan Cleveland,Spain,Valencia,Spain,73.26163116365527,6,1,5.399999999999999
Debra Mann,Qatar,Doha,Japan,73.21318930145121,5,2,11.8
Steven Vires,Israel,Rehovot,Italy,73.2116412410523,5,1,4.333333333333333
Jessica Salazar,India,Vadodara,India,73.20345556649623,7,3,11.0
Albert Tino,United Kingdom,Belfast,United Kingdom,73.19999035369817,5,2,10.333333333333334
Janet Grissinger,Sweden,Malmo,France,73.19652472075579,5,2,12.444444444444443
Jennifer Sturdivant,Greece,Athens,Australia,73.1764354377478,5,2,8.666666666666668
Robert Schusterman,Thailand,Nonthaburi,Hong Kong,73.16949770284904,4,2,9.6
Patrick Fox,France,Grenoble,Argentina,73.1394675012272,5,2,10.802469135802468
Lyle Parker,Germany,Dusseldorf,Germany,73.10833099978963,4,3,12.399999999999997
Joshua Reese,Indonesia,Tangerang,Indonesia,73.10763062571773,5,2,11.841975308641976
Denise Reder,Indonesia,Surabaya,Indonesia,73.08674432647592,5,2,18.0
Jerry Mcclendon,Netherlands,Amsterdam,Mexico,73.07204586100029,5,2,10.650000000000002
Virginia Johnson,Mexico,Naucalpan,China,73.06198635683042,6,1,4.977777777777777
Chris Jenner,Australia,Melbourne,Japan,73.03164570140909,8,1,90.22222222222221
Christina Dennie,France,Dijon,France,73.02061790521587,5,2,12.844444444444445
David Sanford,Russia,Chelyabinsk,Russia,72.99723021720554,4,3,10.399999999999999
Vicki Reid,Spain,Zaragoza,Spain,72.96936849395354,6,1,7.666666666666664
Leon Scaffidi,Australia,Perth,Australia,72.94221754316844,6,2,12.599999999999994
Jolene Townsend,Russia,Perm,Ireland,72.92289457686977,6,1,6.388888888888889
Alex Pride,Indonesia,Makassar,Belgium,72.92110777119926,6,1,6.400000000000002
Beverly Millan,Canada,Winnipeg,Ireland,72.90281954348389,6,1,6.5
Suzanne Parnell,Switzerland,Geneva,France,72.89759870216727,5,2,8.311111111111114
Tonya Bui,Austria,Vienna,United States,72.88741032531665,8,2,69.0
Patricia Boston,Italy,Turin,Italy,72.86876199379076,5,2,20.06666666666667
Georgia Garcia,Pakistan,Karachi,India,72.86521000620289,6,1,10.833333333333329
Hedy Colbert,Mexico,Chihuahua,Germany,72.8616425316001,6,1,8.333333333333334
Rachel Mitchell,Netherlands,The Hague,Belgium,72.8364316705917,4,3,18.9
Kenneth Tucker,Netherlands,Rotterdam,Angola,72.81545616814279,6,1,16.666666666666664
Ina Nailor,Canada,Vancouver,Australia,72.80772295256867,7,3,15.75
Daniel Wolfe,Japan,Sagamihara,Japan,72.80752332884671,5,2,11.6
Belva Bowser,China,Kunming,Japan,72.79108591216732,4,3,14.666666666666666
Mark Olivo,Brazil,Fortaleza,Norway,72.77011225446272,4,3,15.644444444444439
Tammie Honaker,Kenya,Nairobi,India,72.75964502771475,7,3,20.0
Neil Gillespie,Kazakhstan,Almaty,Italy,72.75081161701237,6,1,10.35
Loren Villaman,Germany,Bielefeld,Germany,72.74445466985546,7,3,13.2
Kareem Callan,United States,Phoenix,United States,72.72560957255723,8,2,34.2
Oscar Billingsley,India,Hyderabad,India,72.70996176215836,5,2,10.8
Mary Carchi,United Kingdom,Bristol,South Korea,72.69179240672398,7,3,12.911111111111111
Yvonne Fincher,Spain,Valladolid,France,72.6910715838514,6,1,7.0
Brian Robinson,Germany,Mannheim,Germany,72.6847848310673,7,3,13.950000000000001
Miguel Forte,France,Paris,Germany,72.67685653148098,8,2,162.05
Patricia Okuhara,South Africa,Johannesburg,United Kingdom,72.64709980039683,4,3,17.48148148148148
Carol Leonard,China,Guangzhou,Mexico,72.61504214755065,8,2,39.6
Craig Hudson,Canada,Toronto,Israel,72.5703771871115,7,3,14.400000000000006
Ralph Wilson,Mexico,Leon,Mexico,72.54694186897075,4,2,12.600000000000001
William Cherry,Canada,Calgary,United Kingdom,72.5344112307181,6,1,18.655555555555555
Shirley Simpson,South Korea,Incheon,Australia,72.53380080202886,7,3,15.555555555555552
Max Davis,Indonesia,Tangerang,Indonesia,72.53095057329077,5,2,5.920987654320987
Betty Grubb,Qatar,Doha,South Korea,72.51991775543175,6,1,15.733333333333327
Derrick Keys,Argentina,Rosario,Italy,72.51688461195776,4,3,15.400000000000002
Ginger Miller,Indonesia,Medan,France,72.4813569018856,5,2,11.666666666666668
Denise Schmidt,Mexico,Aguascalientes,India,72.4176978474518,6,1,9.45
Benjamin Eikenberry,China,Harbin,China,72.41451259557897,7,3,12.199999999999998
Kathleen Leader,Argentina,Mendoza,India,72.38262117832238,6,1,7.5
Colin Stephens,Thailand,Nonthaburi,France,72.38042217907675,5,1,4.8
James Manuel,South Africa,Johannesburg,France,72.36654591774797,5,2,6.666666666666664
Michelle Sandate,Peru,Lima,India,72.3542160127159,6,1,23.4
Warren Ledger,Russia,Chelyabinsk,Finland,72.33783947245409,6,1,4.333333333333334
Monique Kohl,Poland,Warsaw,Poland,72.33200506138188,8,2,25.8
Marshall Jensen,Germany,Essen,Germany,72.32617390449978,7,3,11.600000000000003
Alejandro Bush,Germany,Dortmund,Germany,72.30707082769692,4,3,11.600000000000003
Joan Yang,Singapore,Jurong West,Singapore,72.30043284256496,5,2,3.9000000000000004
